#	<x>	stDevX	<E>	stDevE
0	0.140913	-nan	-0.298915	-nan
141	0.0962418	1.43772	0.472459	4.97889
142	0.0969795	1.4408	0.471095	5.00083
143	0.0928237	1.44353	0.464231	5.02211
144	0.0926851	1.44625	0.464949	5.04336
145	0.0918857	1.4489	0.464153	5.06446
146	0.0902062	1.45141	0.466708	5.08568
147	0.0949074	1.45431	0.469292	5.10704
148	0.0929525	1.45705	0.461489	5.12766
149	0.0882136	1.45939	0.464187	5.14843
150	0.0882711	1.46174	0.461902	5.16894
151	0.0859213	1.46391	0.46152	5.18933
152	0.080581	1.46564	0.463316	5.20979
153	0.075334	1.46695	0.463051	5.23015
154	0.076005	1.46833	0.464079	5.25052
155	0.0741255	1.46956	0.465151	5.27089
156	0.0721621	1.47065	0.465823	5.29124
157	0.0690296	1.47149	0.469018	5.31177
158	0.0724384	1.47261	0.470082	5.33231
159	0.0713679	1.47365	0.466296	5.35248
160	0.0683317	1.47447	0.466987	5.37262
161	0.0669723	1.47518	0.466949	5.39269
162	0.0663553	1.47586	0.465092	5.41254
163	0.0639717	1.47636	0.464802	5.4323
164	0.0700047	1.47734	0.469809	5.45238
165	0.0710227	1.47841	0.471143	5.47249
166	0.0672831	1.47919	0.469535	5.4924
167	0.0702359	1.48021	0.469324	5.51223
168	0.0678441	1.48106	0.470376	5.53207
169	0.0641109	1.48162	0.471458	5.55193
170	0.0681409	1.48251	0.474901	5.57198
171	0.0689508	1.48346	0.472615	5.59178
172	0.068041	1.48435	0.465781	5.611
173	0.0686253	1.48529	0.466198	5.63019
174	0.070765	1.4864	0.468384	5.64948
175	0.073635	1.48773	0.467891	5.66866
176	0.0686772	1.48869	0.47163	5.68807
177	0.067769	1.48959	0.471885	5.70743
178	0.0651183	1.4903	0.472613	5.72678
179	0.0665474	1.49112	0.469434	5.74583
180	0.0628022	1.49168	0.467062	5.76465
181	0.0635597	1.4923	0.466305	5.78334
182	0.063182	1.49289	0.463983	5.80181
183	0.058491	1.49315	0.461743	5.82006
184	0.0551205	1.49318	0.462358	5.8383
185	0.0522734	1.493	0.463427	5.85655
186	0.0472501	1.49247	0.464447	5.87483
187	0.0476452	1.49198	0.464586	5.89306
188	0.0466054	1.49143	0.465463	5.9113
189	0.0439186	1.4907	0.467302	5.92962
190	0.045631	1.49011	0.467176	5.94788
191	0.047053	1.48963	0.46668	5.96604
192	0.0482012	1.48925	0.46708	5.98418
193	0.0494928	1.48897	0.468684	6.00238
194	0.0511612	1.48882	0.465775	6.02032
195	0.0473465	1.48841	0.46712	6.0383
196	0.0444455	1.4878	0.464872	6.05607
197	0.0452455	1.48727	0.464324	6.07375
198	0.0454657	1.48676	0.464667	6.0914
199	0.0452112	1.48625	0.462149	6.10883
200	0.0412754	1.48547	0.463882	6.12633
201	0.0408549	1.48467	0.465812	6.14391
202	0.0402751	1.48385	0.466584	6.1615
203	0.0485912	1.48362	0.475084	6.17964
204	0.0514331	1.4836	0.471904	6.1975
205	0.0513536	1.48358	0.470819	6.21524
206	0.0507673	1.48353	0.466719	6.23264
207	0.0496785	1.48341	0.466777	6.25
208	0.0490208	1.48326	0.468185	6.26741
209	0.0486499	1.48309	0.467915	6.28475
210	0.0509655	1.48309	0.466544	6.30196
211	0.0490458	1.48296	0.467909	6.31921
212	0.0468301	1.48269	0.468936	6.33648
213	0.0489266	1.48258	0.47014	6.35379
214	0.0519533	1.48268	0.468868	6.37097
215	0.049811	1.48264	0.467075	6.38798
216	0.0455142	1.48232	0.46951	6.40511
217	0.043685	1.48188	0.466911	6.42202
218	0.0416822	1.48132	0.465897	6.43882
219	0.0429941	1.48086	0.465295	6.45554
220	0.0401201	1.48021	0.466127	6.47226
221	0.038039	1.47944	0.466358	6.48897
222	0.0350797	1.47847	0.467696	6.50571
223	0.0369362	1.47765	0.467786	6.52243
224	0.0388578	1.47696	0.46897	6.53918
225	0.0408501	1.47641	0.469074	6.55589
226	0.0379311	1.47568	0.468949	6.57256
227	0.0389129	1.47503	0.46814	6.58913
228	0.0395391	1.47443	0.467478	6.60561
229	0.0388682	1.47379	0.467959	6.62209
230	0.0397936	1.47322	0.46861	6.63857
231	0.0395839	1.47265	0.469025	6.65503
232	0.0381154	1.47199	0.465809	6.67125
233	0.0377729	1.47132	0.458019	6.68692
234	0.0379842	1.47067	0.456756	6.70247
235	0.0413591	1.47026	0.458732	6.71811
236	0.0389721	1.46969	0.459819	6.73379
237	0.0406348	1.46924	0.459804	6.74943
238	0.0375897	1.4686	0.461977	6.76517
239	0.0363503	1.46789	0.462576	6.78092
240	0.0371892	1.46725	0.462811	6.79665
241	0.0375673	1.46664	0.460502	6.81219
242	0.0365975	1.46597	0.460829	6.82772
243	0.0338341	1.46514	0.461835	6.84327
244	0.0325182	1.46423	0.463118	6.85888
245	0.0331363	1.46337	0.463472	6.87447
246	0.0351499	1.46265	0.465226	6.89014
247	0.0336724	1.46184	0.462906	6.90562
248	0.03347	1.46103	0.462682	6.92106
249	0.0338333	1.46026	0.462935	6.93648
250	0.0327721	1.45942	0.463662	6.95191
251	0.0337681	1.45866	0.463168	6.96728
252	0.033172	1.45786	0.463181	6.98261
253	0.0299082	1.45688	0.464906	6.99802
254	0.0277287	1.45576	0.465491	7.01343
255	0.0267859	1.4546	0.466953	7.0289
256	0.0252634	1.45335	0.467293	7.04436
257	0.0252672	1.45211	0.466794	7.05975
258	0.0245269	1.45084	0.462977	7.07488
259	0.0251221	1.44961	0.461996	7.08991
260	0.0263888	1.44847	0.462522	7.10494
261	0.0279594	1.44744	0.464502	7.12006
262	0.0282629	1.44643	0.465841	7.13524
263	0.0261989	1.44531	0.465945	7.15038
264	0.0266595	1.44423	0.4642	7.16539
265	0.0295615	1.44333	0.46454	7.18039
266	0.0294924	1.44244	0.465063	7.19539
267	0.0311709	1.44165	0.465881	7.21041
268	0.0310877	1.44087	0.466803	7.22545
269	0.0282301	1.43993	0.467031	7.24048
270	0.0268128	1.4389	0.467693	7.25552
271	0.0270425	1.4379	0.468425	7.27057
272	0.029	1.43703	0.469975	7.28568
273	0.026853	1.43603	0.471463	7.30085
274	0.0245461	1.43491	0.472101	7.31603
275	0.0258857	1.43387	0.473333	7.33125
276	0.0242906	1.43274	0.474445	7.34651
277	0.0229627	1.43155	0.474645	7.36175
278	0.0230275	1.43037	0.474515	7.37695
279	0.0222756	1.42915	0.472873	7.39202
280	0.0262741	1.42818	0.476437	7.40727
281	0.0264388	1.42722	0.477507	7.42256
282	0.0267892	1.4263	0.476367	7.43775
283	0.0268067	1.42538	0.475219	7.45284
284	0.0254966	1.42439	0.476471	7.46797
285	0.0259883	1.42344	0.476746	7.48309
286	0.0277586	1.42261	0.47817	7.49826
287	0.0277492	1.42178	0.477053	7.51334
288	0.0240361	1.42073	0.479367	7.52853
289	0.024677	1.41974	0.479975	7.54372
290	0.0231696	1.41866	0.479075	7.55882
291	0.0226721	1.41756	0.478755	7.57388
292	0.0204776	1.41634	0.478788	7.58892
293	0.0201218	1.41511	0.476995	7.60381
294	0.0148036	1.41358	0.480963	7.61891
295	0.0140428	1.41201	0.480953	7.63398
296	0.01338	1.41042	0.47902	7.64891
297	0.0103376	1.40865	0.480121	7.66388
298	0.00931083	1.40684	0.480486	7.67884
299	0.0100305	1.40508	0.479675	7.69372
300	0.0125782	1.40348	0.480799	7.70864
301	0.0114773	1.40182	0.480066	7.72348
302	0.00893856	1.40002	0.480832	7.73835
303	0.00979236	1.39829	0.481793	7.75324
304	0.010435	1.3966	0.476717	7.76781
305	0.0121931	1.39502	0.475842	7.78231
306	0.0144368	1.39357	0.47579	7.79678
307	0.0158735	1.39222	0.476364	7.81125
308	0.0165833	1.39091	0.477676	7.82577
309	0.0165034	1.38961	0.475101	7.84012
310	0.0184002	1.38843	0.475614	7.85447
311	0.0195687	1.38731	0.475977	7.86882
312	0.0179037	1.38611	0.474911	7.88308
313	0.0204478	1.38506	0.476688	7.89742
314	0.0198066	1.38398	0.476279	7.9117
315	0.0180205	1.38281	0.477116	7.92601
316	0.0196496	1.38174	0.477235	7.9403
317	0.0197312	1.38067	0.476766	7.95454
318	0.0215398	1.37972	0.477462	7.96879
319	0.0190633	1.37863	0.477601	7.98303
320	0.0206219	1.37764	0.476647	7.99718
321	0.0204731	1.37664	0.476214	8.01129
322	0.0193356	1.37559	0.476582	8.0254
323	0.0198397	1.37457	0.476498	8.03947
324	0.0194381	1.37354	0.476334	8.05351
325	0.0180317	1.37244	0.475591	8.06749
326	0.021752	1.37154	0.4778	8.08157
327	0.0222719	1.37069	0.478268	8.09564
328	0.0223506	1.36984	0.479273	8.10975
329	0.0252513	1.36915	0.479634	8.12385
330	0.0269594	1.36857	0.477754	8.13783
331	0.026678	1.36798	0.476754	8.15173
332	0.0261648	1.36736	0.476488	8.16559
333	0.0254168	1.36671	0.476975	8.17945
334	0.0241142	1.36599	0.477112	8.1933
335	0.0241253	1.36527	0.473453	8.20692
336	0.0230981	1.36451	0.474793	8.2206
337	0.0206742	1.36362	0.476215	8.23433
338	0.0217118	1.36279	0.476911	8.24808
339	0.0230445	1.36203	0.476156	8.26176
340	0.0270614	1.36151	0.47968	8.27561
341	0.0283105	1.36105	0.479069	8.28941
342	0.0292068	1.36064	0.478099	8.30313
343	0.026184	1.36008	0.478678	8.31685
344	0.0266136	1.35954	0.479375	8.3306
345	0.0244638	1.3589	0.480241	8.34437
346	0.0235136	1.3582	0.477275	8.35795
347	0.0236313	1.35752	0.47535	8.37142
348	0.0255455	1.35695	0.476033	8.38489
349	0.024172	1.3563	0.475797	8.39834
350	0.0235942	1.35563	0.476416	8.41179
351	0.0214002	1.35485	0.477243	8.42527
352	0.0202506	1.35401	0.477452	8.43874
353	0.01936	1.35313	0.478295	8.45223
354	0.0181559	1.35219	0.478621	8.46572
355	0.0154431	1.35111	0.479243	8.47922
356	0.0161823	1.35008	0.479495	8.49271
357	0.0153129	1.349	0.479755	8.50619
358	0.0144126	1.34789	0.479261	8.51963
359	0.0136842	1.34674	0.479576	8.53306
360	0.0128209	1.34555	0.479042	8.54645
361	0.0130547	1.34438	0.479285	8.55982
362	0.0146093	1.3433	0.479848	8.57321
363	0.0155861	1.34228	0.481195	8.58664
364	0.0147584	1.34121	0.482256	8.60011
365	0.0140375	1.34012	0.482059	8.61355
366	0.0135444	1.339	0.482334	8.62698
367	0.0146977	1.33795	0.483295	8.64044
368	0.015544	1.33695	0.48327	8.65388
369	0.0186295	1.33611	0.485808	8.66743
370	0.0205277	1.33538	0.484795	8.68091
371	0.019261	1.33459	0.48406	8.69433
372	0.0193772	1.3338	0.483478	8.7077
373	0.0169027	1.3329	0.485169	8.72114
374	0.0153432	1.33192	0.486109	8.7346
375	0.0141857	1.33088	0.486473	8.74806
376	0.016986	1.32999	0.488858	8.76163
377	0.0158096	1.32905	0.48882	8.77517
378	0.013238	1.32798	0.489901	8.78875
379	0.0115883	1.32683	0.490618	8.80234
